nome,ano,escola,nota_semestre_1,nota_semestre_2,faltas,nota_exame,monitoria
Samuel Ferreira,2,Antonio Prado,4.7,6.76,25,3.68,TRUE
Arthur Pereira,1,Pedro II,0.11,03.01,24,9.15,TRUE
Maria Gomes,2,Antonio Prado,9.93,5.69,27,0,TRUE
Heitor Ferreira,3,Gabriel Gomes,01.01,3.29,26,0.71,FALSE
Gael Alves,3,Pedro I,0.32,8.5,11,1.26,FALSE
Helena Ribeiro,3,Pedro I,5.18,5.44,11,08.01,FALSE
Gabriel Ferreira,2,Pedro II,7.84,4.28,25,1.17,FALSE
Miguel Souza,1,Antonio Prado,2.27,7.2,30,5.39,FALSE
Davi Pereira,2,Pedro I,6.55,3.0,4,3.62,TRUE
Theo Soares,3,Gabriel Gomes,5.2,2.96,10,7.35,TRUE
Sophia Ferreira,1,Carlos Santos,2.85,6.58,7,1.32,TRUE
Helena Oliveira,3,Pedro I,0.26,07.03,30,08.03,TRUE
Theo Ribeiro,3,Gabriel Gomes,1.38,5.99,28,5.32,TRUE
Miguel Alves,1,Pedro II,8.18,6.3,9,0,FALSE
Bernardo Alves,1,Pedro I,4.21,6.88,17,6.91,FALSE
Davi Souza,3,Francisto Chagas,04.02,8.86,4,02.06,TRUE
Sophia Alves,3,Pedro II,0.66,5.63,17,1.42,FALSE
Alice Pereira,3,Francisto Chagas,7.67,1.48,22,4.72,TRUE
Laura Martins,2,Carlos Santos,9.32,06.04,8,0,TRUE
Theo Santos,2,Pedro I,2.76,6.38,21,4.75,FALSE
Arthur Souza,3,Carlos Santos,6.51,0.76,6,0.26,TRUE
Laura Ferreira,3,Francisto Chagas,1.95,1.1,3,6.45,FALSE
Heitor Gomes,2,Antonio Prado,09.04,4.82,26,8.22,TRUE
Gael Souza,2,Antonio Prado,9.3,9.44,20,0,TRUE
Heloisa Alves,1,Pedro II,5.8,0.92,4,03.07,TRUE
Gabriel Soares,2,Gabriel Gomes,3.54,5.68,7,03.05,FALSE
Arthur Ribeiro,2,Antonio Prado,3.32,05.07,27,2.21,TRUE
Laura Ferreira,2,Carlos Santos,1.76,6.96,24,6.98,TRUE
Sophia Alves,3,Francisto Chagas,8.54,4.39,19,9.46,TRUE
Gael Santos,3,Francisto Chagas,6.45,4.56,26,4.32,TRUE
Gabriel Soares,2,Pedro I,1.73,0.64,6,5.7,TRUE
Arthur Pereira,2,Francisto Chagas,6.92,0.47,5,5.71,TRUE
Laura Souza,3,Gabriel Gomes,3.9,4.15,1,8.75,FALSE
Helena Gomes,1,Pedro I,0.01,0.56,14,5.54,FALSE
Samuel Souza,2,Francisto Chagas,8.94,1.87,22,4.31,FALSE
Arthur Ribeiro,1,Gabriel Gomes,3.13,7.99,3,4.52,FALSE
Davi Ribeiro,2,Francisto Chagas,7.23,0.9,3,2.27,TRUE
Gabriel Souza,2,Antonio Prado,8.18,4.73,22,3.26,TRUE
Alice Ferreira,3,Antonio Prado,6.38,6.62,27,7.63,TRUE
Davi Alves,1,Pedro II,0.47,5.87,26,4.94,FALSE
Laura Souza,2,Francisto Chagas,7.48,2.23,16,3.13,TRUE
Sophia Maia,2,Pedro II,5.48,0.71,16,09.06,FALSE
Heitor Ferreira,2,Francisto Chagas,9.92,2.89,9,9.69,FALSE
Bernardo Ferreira,3,Gabriel Gomes,3.63,9.96,6,7.66,TRUE
Davi Alves,1,Antonio Prado,9.62,6.47,2,0,FALSE
Heitor Alves,3,Francisto Chagas,8.82,9.99,0,0,TRUE
Alice Santos,1,Antonio Prado,4.92,9.95,15,0,TRUE
Bernardo Silva,3,Antonio Prado,8.13,1.61,30,8.42,FALSE
Heitor Alves,2,Francisto Chagas,01.04,09.05,10,0.36,FALSE
Helena Ribeiro,2,Pedro I,1.89,2.53,22,7.34,FALSE
Sophia Alves,3,Pedro I,1.34,8.84,20,3.77,TRUE
Alice Soares,3,Francisto Chagas,2.54,7.32,17,4.83,TRUE
Davi Pereira,3,Pedro I,7.81,9.22,10,0,FALSE
Bernardo Alves,3,Antonio Prado,9.2,6.25,29,0,FALSE
Laura Alves,3,Carlos Santos,3.39,03.02,29,3.58,FALSE
Helena Ribeiro,1,Francisto Chagas,5.22,1.38,20,4.43,FALSE
Gael Oliveira,2,Gabriel Gomes,5.51,4.9,25,8.93,TRUE
Heloisa Maia,3,Antonio Prado,6.53,5.29,7,9.43,TRUE
Heitor Gomes,1,Gabriel Gomes,8.88,8.39,13,0,TRUE
Laura Pereira,1,Carlos Santos,7.86,3.39,25,4.64,FALSE
Gael Ferreira,1,Pedro I,1.88,6.25,27,8.79,TRUE
Laura Pereira,1,Francisto Chagas,0.15,0.02,22,7.99,TRUE
Heitor Alves,1,Antonio Prado,9.75,8.68,1,0,TRUE
Samuel Gomes,2,Pedro II,5.83,5.18,21,4.68,TRUE
Bernardo Maia,2,Antonio Prado,6.89,2.68,26,1.95,TRUE
Samuel Ribeiro,1,Antonio Prado,7.26,7.21,11,0,TRUE
Helena Oliveira,2,Carlos Santos,8.95,6.48,18,0,TRUE
Helena Martins,1,Carlos Santos,3.97,3.99,23,7.6,FALSE
Davi Alves,3,Antonio Prado,1.21,1.23,28,6.98,FALSE
Helena Silva,3,Francisto Chagas,05.02,4.27,4,5.35,TRUE
Valentina Gomes,3,Gabriel Gomes,5.72,3.23,9,0.67,FALSE
Alice Santos,3,Francisto Chagas,9.94,7.55,2,0,TRUE
Helena Alves,1,Francisto Chagas,3.31,2.58,0,5.98,FALSE
Sophia Rodrigues,2,Pedro II,7.45,4.67,28,6.4,FALSE
Miguel Alves,2,Pedro I,2.42,03.06,15,3.11,FALSE
Gael Santos,2,Francisto Chagas,0.81,06.09,23,1.66,FALSE
Alice Silva,2,Antonio Prado,4.83,0.01,1,4.63,TRUE
Heloisa Santos,2,Pedro II,09.01,9.81,4,0,FALSE
Heloisa Ferreira,3,Pedro II,5.95,5.63,26,0.67,TRUE
Samuel Silva,2,Antonio Prado,2.81,5.77,5,8.24,TRUE
Laura Alves,3,Carlos Santos,1.3,5.52,16,03.06,FALSE
Helena Souza,2,Gabriel Gomes,1.73,0.18,4,0.28,FALSE
Bernardo Santos,1,Francisto Chagas,6.7,7.49,4,0,FALSE
Gabriel Oliveira,3,Francisto Chagas,4.97,3.62,18,6.34,FALSE
Miguel Alves,1,Antonio Prado,0.03,0.03,29,1.88,TRUE
Sophia Souza,1,Carlos Santos,9.28,4.28,0,3.39,TRUE
Gabriel Alves,3,Pedro II,6.75,9.23,30,0,TRUE
Heitor Alves,1,Pedro II,5.76,9.62,4,0,TRUE
Davi Alves,3,Francisto Chagas,0.58,3.26,19,6.59,TRUE
Maria Oliveira,2,Francisto Chagas,3.86,7.69,25,2.29,TRUE
Miguel Alves,2,Antonio Prado,3.16,6.41,11,2.79,FALSE
Maria Soares,1,Antonio Prado,8.54,5.41,14,5.31,FALSE
Miguel Silva,3,Pedro II,0.87,1.19,1,1.22,FALSE
Valentina Souza,3,Carlos Santos,2.65,4.69,29,4.39,FALSE
Theo Santos,1,Antonio Prado,6.12,2.19,2,8.42,TRUE
Gael Soares,3,Pedro I,06.06,5.36,22,4.19,TRUE
Valentina Souza,2,Pedro I,5.25,2.77,17,0.34,FALSE
Gael Alves,1,Pedro II,1.28,1.2,29,09.04,FALSE
Samuel Maia,1,Pedro I,5.58,0.8,29,2.0,TRUE
Heitor Pereira,1,Carlos Santos,4.91,5.6,4,9.27,FALSE
Arthur Ribeiro,2,Gabriel Gomes,9.3,2.97,30,2.11,FALSE
Arthur Soares,3,Antonio Prado,9.75,9.44,18,0,FALSE
Bernardo Silva,1,Francisto Chagas,7.53,0.86,7,5.58,TRUE
Heloisa Martins,1,Antonio Prado,4.58,8.85,3,8.44,FALSE
Miguel Santos,2,Pedro II,3.82,06.03,2,5.73,FALSE
Davi Santos,1,Pedro II,9.94,7.66,1,0,TRUE
Bernardo Martins,3,Carlos Santos,5.16,1.24,22,7.66,FALSE
Gabriel Ferreira,2,Pedro I,05.06,9.19,8,0,FALSE
Sophia Maia,1,Pedro II,5.45,5.37,25,5.18,FALSE
Theo Gomes,3,Gabriel Gomes,2.5,7.12,10,5.53,FALSE
Bernardo Souza,1,Pedro I,9.44,01.07,26,9.63,FALSE
Samuel Rodrigues,2,Gabriel Gomes,0.13,6.68,23,2.93,FALSE
Alice Rodrigues,2,Carlos Santos,0.79,09.09,9,8.0,FALSE
Sophia Maia,3,Pedro I,3.28,4.21,25,0.8,FALSE
Heloisa Ferreira,2,Antonio Prado,9.64,0.68,4,09.09,FALSE
Miguel Rodrigues,3,Carlos Santos,3.17,3.88,11,1.19,FALSE
Sophia Oliveira,1,Pedro I,09.07,06.01,30,0,FALSE
Valentina Martins,1,Pedro II,4.24,7.4,8,5.41,TRUE
Heitor Alves,2,Pedro I,0.58,5.57,17,4.65,FALSE
Laura Soares,2,Antonio Prado,3.82,6.77,21,3.1,FALSE
Heloisa Oliveira,3,Francisto Chagas,9.81,8.61,19,0,TRUE
Bernardo Alves,3,Gabriel Gomes,2.46,1.92,26,2.55,FALSE
Valentina Maia,2,Gabriel Gomes,6.61,1.98,23,9.54,FALSE
Heloisa Souza,1,Pedro II,6.67,8.85,16,0,FALSE
Gael Soares,3,Gabriel Gomes,1.7,7.77,20,7.28,FALSE
Sophia Rodrigues,1,Francisto Chagas,02.02,3.26,15,6.3,FALSE
Sophia Maia,2,Pedro II,4.98,8.39,28,6.86,FALSE
Alice Alves,3,Pedro I,6.44,7.77,7,0,FALSE
Miguel Alves,1,Pedro II,2.83,1.47,9,1.44,TRUE
Valentina Silva,2,Gabriel Gomes,3.13,9.51,9,6.13,TRUE
Gabriel Pereira,1,Gabriel Gomes,9.36,0.64,18,0.51,FALSE
Bernardo Gomes,3,Carlos Santos,8.3,2.32,28,4.21,TRUE
Gabriel Ribeiro,3,Pedro II,01.04,1.13,21,03.05,FALSE
Heitor Gomes,3,Gabriel Gomes,3.66,0.74,18,1.49,TRUE
Helena Rodrigues,3,Carlos Santos,7.1,07.08,5,0,TRUE
Helena Oliveira,3,Carlos Santos,0.49,4.29,11,5.66,FALSE
Valentina Rodrigues,2,Carlos Santos,0.75,5.0,28,06.08,TRUE
Heloisa Maia,1,Antonio Prado,03.03,7.64,19,08.07,FALSE
Davi Alves,2,Gabriel Gomes,9.33,03.02,9,9.48,TRUE
Theo Alves,2,Carlos Santos,0.37,7.49,26,7.17,FALSE
Arthur Alves,2,Francisto Chagas,5.72,5.92,28,3.87,TRUE
Gael Martins,1,Pedro I,7.74,2.13,12,8.23,FALSE
Sophia Soares,1,Francisto Chagas,5.72,5.18,27,6.56,TRUE
Alice Santos,1,Pedro I,1.13,09.04,18,3.92,TRUE
Valentina Ribeiro,2,Carlos Santos,2.15,3.33,11,07.03,TRUE
Bernardo Ferreira,3,Gabriel Gomes,5.33,02.01,28,1.37,FALSE
Maria Ferreira,3,Antonio Prado,6.98,6.44,5,8.9,TRUE
Alice Alves,1,Francisto Chagas,0.51,0.56,3,5.94,FALSE
Gael Santos,1,Pedro II,4.51,9.86,13,0,FALSE
Samuel Rodrigues,2,Gabriel Gomes,6.28,5.55,10,0.03,TRUE
Theo Alves,1,Pedro II,5.99,7.81,9,03.01,FALSE
Miguel Ferreira,1,Pedro I,08.06,9.27,11,0,TRUE
Gael Oliveira,2,Antonio Prado,05.05,4.48,0,4.52,TRUE
Theo Soares,3,Francisto Chagas,5.35,2.65,29,8.36,FALSE
Miguel Ferreira,3,Carlos Santos,7.66,02.02,11,3.55,TRUE
Bernardo Souza,2,Gabriel Gomes,03.08,4.19,22,1.1,FALSE
Heloisa Oliveira,2,Pedro II,2.67,4.21,20,9.88,FALSE
Laura Alves,1,Gabriel Gomes,09.06,6.17,28,0,FALSE
Alice Ribeiro,1,Pedro I,1.72,8.32,13,6.42,FALSE
Maria Martins,2,Antonio Prado,3.97,2.97,23,0.32,FALSE
Alice Ferreira,1,Pedro I,5.73,9.2,14,0,FALSE
Laura Pereira,2,Carlos Santos,3.68,2.37,11,7.29,TRUE
Helena Ribeiro,2,Pedro I,1.14,7.12,14,06.03,TRUE
Gabriel Pereira,2,Pedro I,03.07,9.41,5,03.04,TRUE
Gael Santos,3,Pedro I,5.44,8.57,19,0,TRUE
Heitor Soares,2,Pedro I,8.57,7.28,21,0,TRUE
Theo Santos,1,Antonio Prado,2.62,3.79,25,2.23,FALSE
Samuel Souza,2,Francisto Chagas,7.59,6.3,2,3.43,FALSE
Heitor Souza,1,Gabriel Gomes,8.78,5.39,14,0,TRUE
Theo Souza,1,Gabriel Gomes,2.96,01.09,22,6.2,TRUE
Heitor Oliveira,2,Francisto Chagas,8.35,1.35,13,6.67,TRUE
Gael Alves,3,Pedro I,8.3,4.22,2,6.58,FALSE
Miguel Rodrigues,3,Francisto Chagas,1.19,0.3,20,9.5,FALSE
Heloisa Ribeiro,3,Francisto Chagas,9.84,6.97,21,0,FALSE
Miguel Silva,2,Antonio Prado,7.4,2.7,21,4.51,TRUE
Maria Ribeiro,2,Antonio Prado,0.1,4.12,4,9.53,FALSE
Valentina Santos,1,Pedro II,4.11,9.31,25,4.53,TRUE
Miguel Alves,2,Pedro I,3.66,3.29,7,4.61,FALSE
Sophia Alves,1,Antonio Prado,3.13,2.58,1,04.07,FALSE
Bernardo Silva,2,Pedro I,5.45,6.59,5,08.05,FALSE
Heitor Martins,3,Francisto Chagas,9.83,8.45,28,0,TRUE
Samuel Alves,2,Gabriel Gomes,0.18,5.86,11,9.8,FALSE
Alice Alves,2,Antonio Prado,0.59,7.79,8,2.66,FALSE
Laura Soares,3,Pedro II,1.45,8.28,3,8.96,FALSE
Helena Souza,3,Pedro I,9.53,06.03,19,0,TRUE
Helena Santos,3,Antonio Prado,0.6,01.06,19,8.4,TRUE
Heloisa Ribeiro,1,Antonio Prado,1.53,0.14,28,6.76,FALSE
Heloisa Ferreira,3,Antonio Prado,2.38,0.25,16,8.21,FALSE
Davi Alves,2,Antonio Prado,7.67,6.12,13,3.43,FALSE
Sophia Souza,2,Gabriel Gomes,1.88,0.63,19,4.77,FALSE
Heloisa Santos,1,Francisto Chagas,8.69,3.79,11,6.16,TRUE
Helena Ferreira,1,Carlos Santos,1.84,0.43,17,6.26,FALSE
Heloisa Oliveira,3,Pedro I,5.49,7.65,23,2.78,FALSE
Maria Pereira,3,Pedro I,5.17,3.38,1,2.61,TRUE
Sophia Gomes,2,Carlos Santos,5.7,7.36,15,7.11,FALSE
Theo Pereira,1,Carlos Santos,5.9,4.75,4,1.52,TRUE
Miguel Martins,1,Pedro I,0.07,5.38,16,9.76,FALSE
Bernardo Soares,2,Pedro I,1.2,3.44,27,6.6,TRUE
Miguel Santos,2,Pedro I,05.01,4.45,11,1.58,FALSE
Bernardo Pereira,1,Antonio Prado,7.44,3.38,14,8.0,FALSE
Arthur Ferreira,2,Pedro I,2.59,3.4,28,1.62,FALSE
Heitor Martins,3,Pedro II,2.76,5.49,7,3.55,TRUE
Valentina Santos,1,Francisto Chagas,3.58,7.45,14,09.01,TRUE
Miguel Pereira,3,Pedro II,4.14,0.17,30,1.7,TRUE
Theo Alves,3,Francisto Chagas,0.1,6.87,11,6.18,FALSE
Miguel Soares,2,Pedro I,7.55,08.09,24,0,FALSE
Arthur Martins,2,Gabriel Gomes,0.69,7.31,11,3.14,FALSE
Maria Santos,3,Antonio Prado,6.57,0.5,22,0.17,TRUE
Maria Alves,2,Francisto Chagas,9.94,04.08,1,0,TRUE
Samuel Oliveira,1,Francisto Chagas,9.85,8.81,27,0,FALSE
Heitor Oliveira,1,Carlos Santos,8.96,9.62,19,0,FALSE
Laura Ribeiro,1,Antonio Prado,0.39,0.01,4,7.44,TRUE
Miguel Gomes,3,Carlos Santos,5.21,08.04,11,4.94,FALSE
Alice Alves,3,Carlos Santos,1.16,8.57,7,8.59,TRUE
Miguel Alves,2,Gabriel Gomes,8.8,1.97,1,2.53,TRUE
Helena Rodrigues,3,Pedro II,9.77,5.98,7,0,TRUE
Samuel Alves,1,Pedro II,7.45,7.79,29,0,FALSE
Bernardo Ferreira,3,Francisto Chagas,7.42,9.68,6,0,TRUE
Valentina Ribeiro,1,Francisto Chagas,6.96,02.07,9,0.97,TRUE
Sophia Alves,2,Francisto Chagas,7.9,04.03,22,0.65,FALSE
Samuel Silva,3,Pedro II,6.56,4.87,27,9.18,FALSE
Helena Ribeiro,2,Antonio Prado,6.2,8.54,6,0,FALSE
Heloisa Maia,2,Antonio Prado,9.24,6.51,7,0,TRUE
Miguel Santos,2,Gabriel Gomes,0.7,6.69,12,9.97,TRUE
Valentina Gomes,3,Carlos Santos,04.03,1.52,27,5.8,TRUE
Alice Ribeiro,2,Pedro I,5.63,6.22,23,4.75,TRUE
Bernardo Martins,2,Francisto Chagas,9.14,09.07,26,0,FALSE
Heloisa Gomes,1,Carlos Santos,9.97,2.79,21,9.16,FALSE
Laura Alves,3,Pedro I,3.86,0.61,2,1.9,FALSE
Heloisa Alves,2,Antonio Prado,7.56,7.22,26,0,TRUE
Helena Alves,3,Francisto Chagas,4.76,9.57,5,0,TRUE
Arthur Pereira,3,Pedro I,9.4,1.55,9,9.87,TRUE
Maria Soares,2,Pedro I,0.56,07.03,5,7.13,FALSE
Miguel Silva,3,Pedro II,8.66,9.98,16,0,TRUE
Davi Gomes,3,Gabriel Gomes,7.42,3.72,24,0.58,FALSE
Davi Gomes,1,Pedro II,8.86,2.41,22,3.15,FALSE
Heloisa Oliveira,3,Pedro I,6.78,05.02,10,2.16,TRUE
Davi Alves,2,Francisto Chagas,01.02,2.33,20,9.88,FALSE
Bernardo Ribeiro,1,Gabriel Gomes,3.59,8.44,26,1.11,FALSE
Davi Santos,2,Gabriel Gomes,2.74,3.32,24,8.58,TRUE
Valentina Ribeiro,3,Antonio Prado,0.54,0.1,22,5.13,TRUE
Sophia Maia,2,Carlos Santos,4.35,08.07,16,5.22,TRUE
Alice Ferreira,2,Pedro II,0.24,2.26,20,4.36,TRUE
Gabriel Santos,2,Pedro II,10.0,4.93,0,0,FALSE
Maria Santos,3,Gabriel Gomes,7.28,8.8,20,0,FALSE
Davi Martins,3,Pedro II,5.33,9.34,19,0,FALSE
Helena Alves,1,Pedro II,8.26,2.6,4,2.56,TRUE
Alice Oliveira,1,Pedro II,6.46,8.15,22,0,TRUE
Gael Martins,3,Antonio Prado,5.95,0.69,15,7.75,FALSE
Heitor Souza,2,Pedro II,8.8,6.56,5,0,FALSE
Davi Alves,2,Antonio Prado,4.39,3.4,1,0.61,TRUE
Sophia Santos,3,Francisto Chagas,8.93,05.01,3,2.51,TRUE
Laura Gomes,3,Francisto Chagas,7.78,2.24,24,3.65,TRUE
Bernardo Martins,2,Pedro II,4.6,6.0,1,4.36,TRUE
Arthur Gomes,2,Francisto Chagas,3.26,6.88,28,2.38,FALSE
Arthur Souza,2,Pedro I,0.83,0.3,25,05.09,TRUE
Arthur Rodrigues,3,Pedro I,7.31,9.75,8,0,TRUE
Samuel Gomes,2,Pedro I,4.88,8.97,7,9.44,FALSE
Gael Oliveira,3,Pedro I,1.29,4.35,19,3.14,FALSE
Helena Ferreira,2,Pedro II,1.78,4.59,22,8.27,FALSE
Gael Santos,1,Francisto Chagas,3.19,8.16,15,6.69,FALSE
Gael Souza,1,Carlos Santos,4.28,9.37,9,8.79,FALSE
Miguel Pereira,2,Pedro I,7.43,3.73,12,0.16,FALSE
Arthur Pereira,2,Gabriel Gomes,2.58,2.16,14,8.57,TRUE
Gabriel Silva,3,Francisto Chagas,5.2,4.24,26,7.57,FALSE
Miguel Ribeiro,1,Pedro II,4.32,3.89,9,4.49,FALSE
Helena Pereira,2,Pedro II,2.32,2.15,21,7.87,TRUE
Gael Pereira,1,Francisto Chagas,9.6,9.96,7,0,TRUE
Maria Oliveira,2,Antonio Prado,2.5,4.42,6,7.63,TRUE
Miguel Rodrigues,3,Carlos Santos,3.3,5.31,29,9.32,FALSE
Alice Santos,2,Carlos Santos,1.43,3.86,12,04.03,FALSE
Miguel Silva,2,Francisto Chagas,2.63,03.01,29,8.73,TRUE
Heitor Pereira,3,Pedro I,0.09,2.62,29,3.69,TRUE
Theo Oliveira,2,Carlos Santos,4.88,5.78,28,8.87,TRUE
Arthur Martins,2,Carlos Santos,0.61,9.61,28,4.46,TRUE
Maria Gomes,3,Antonio Prado,8.81,5.44,27,0,FALSE
Sophia Martins,2,Pedro I,9.85,1.52,9,5.78,TRUE
Gabriel Ribeiro,2,Antonio Prado,6.96,0.1,1,3.96,FALSE
Alice Souza,2,Pedro II,8.77,2.54,21,4.97,TRUE
Gabriel Santos,2,Gabriel Gomes,3.85,1.37,29,1.4,FALSE
Miguel Ferreira,3,Pedro II,0.94,7.7,30,03.02,TRUE
Helena Alves,1,Francisto Chagas,9.34,3.24,8,02.07,FALSE
Laura Silva,1,Francisto Chagas,0.37,3.11,18,4.93,TRUE
Valentina Martins,1,Francisto Chagas,7.73,0.97,4,6.82,TRUE
Alice Ribeiro,1,Gabriel Gomes,05.09,5.6,25,8.15,FALSE
Maria Silva,2,Pedro I,6.92,7.6,20,0,FALSE
Davi Gomes,1,Gabriel Gomes,03.07,4.98,27,3.91,FALSE
Heitor Maia,1,Pedro I,8.53,8.16,3,0,FALSE
Laura Rodrigues,3,Gabriel Gomes,7.34,6.88,4,0,TRUE
Bernardo Gomes,2,Francisto Chagas,7.35,5.83,28,1.12,TRUE
Helena Pereira,1,Pedro II,8.16,8.78,18,0,TRUE
Gabriel Ferreira,2,Gabriel Gomes,09.08,8.55,8,0,FALSE
Heitor Oliveira,2,Pedro I,2.99,1.31,25,1.41,TRUE
Laura Silva,3,Gabriel Gomes,0.16,3.35,27,8.23,TRUE
Arthur Maia,1,Antonio Prado,7.35,7.9,14,0,TRUE
Bernardo Santos,2,Francisto Chagas,0.6,6.33,24,7.2,FALSE
Helena Ribeiro,1,Pedro I,07.02,0.69,0,4.12,FALSE
Valentina Rodrigues,1,Pedro I,6.36,6.42,8,04.06,FALSE
Laura Oliveira,2,Gabriel Gomes,6.94,1.49,0,8.26,TRUE
Helena Alves,2,Pedro II,4.3,1.6,2,1.76,FALSE
Helena Oliveira,3,Francisto Chagas,9.55,9.13,16,0,FALSE
Helena Rodrigues,3,Pedro II,8.93,01.08,26,3.81,TRUE
Theo Maia,1,Gabriel Gomes,5.67,10.0,1,0,TRUE
Bernardo Souza,1,Francisto Chagas,05.05,4.53,6,8.32,TRUE
Miguel Santos,2,Francisto Chagas,0.53,9.26,13,2.54,FALSE
Bernardo Martins,2,Francisto Chagas,8.28,04.03,26,5.81,FALSE
Valentina Alves,3,Francisto Chagas,3.5,2.81,4,8.81,TRUE
Arthur Santos,3,Pedro II,9.29,0.13,8,5.66,FALSE
Sophia Alves,1,Gabriel Gomes,0.92,3.37,19,1.38,TRUE
Theo Alves,3,Antonio Prado,6.23,4.12,28,6.6,FALSE
Laura Souza,1,Pedro II,2.46,7.84,27,9.34,FALSE
Valentina Maia,1,Pedro II,4.99,6.63,0,5.76,FALSE
Heloisa Soares,2,Francisto Chagas,4.77,2.32,18,7.56,FALSE
Sophia Maia,2,Gabriel Gomes,8.77,3.7,13,4.4,FALSE
Alice Pereira,2,Antonio Prado,6.9,9.1,25,0,TRUE
Theo Silva,3,Francisto Chagas,8.31,1.83,26,5.25,FALSE
Bernardo Alves,2,Carlos Santos,6.53,9.61,27,0,TRUE
Bernardo Gomes,2,Pedro II,1.93,05.08,17,1.26,FALSE
Bernardo Souza,1,Gabriel Gomes,1.9,5.38,15,6.18,TRUE
Gael Soares,1,Francisto Chagas,5.89,2.45,6,1.7,FALSE
Gabriel Pereira,1,Francisto Chagas,4.22,3.61,5,7.29,TRUE
Laura Rodrigues,2,Francisto Chagas,9.96,10.0,5,0,TRUE
Laura Silva,1,Pedro I,2.0,3.5,7,4.29,FALSE
Miguel Souza,3,Gabriel Gomes,1.89,8.1,2,8.78,TRUE
Maria Ferreira,3,Antonio Prado,7.76,3.73,8,3.16,FALSE
Gabriel Alves,2,Pedro II,6.57,6.43,5,7.65,FALSE
Helena Soares,2,Gabriel Gomes,5.87,9.72,17,0,TRUE
Theo Ribeiro,3,Antonio Prado,04.06,7.64,14,7.29,TRUE
Valentina Maia,3,Antonio Prado,4.82,8.9,29,9.78,FALSE
Valentina Gomes,1,Francisto Chagas,6.92,2.68,23,3.16,FALSE
Heloisa Gomes,2,Pedro I,7.8,1.56,28,8.41,TRUE
Alice Gomes,2,Pedro II,07.05,2.29,10,5.75,FALSE
Bernardo Alves,3,Antonio Prado,0.5,2.66,27,2.61,TRUE
Maria Alves,2,Gabriel Gomes,5.49,0.38,11,7.3,TRUE
Maria Silva,2,Carlos Santos,1.26,1.28,21,3.75,FALSE
Helena Ferreira,3,Francisto Chagas,4.4,8.52,7,3.97,FALSE
Maria Gomes,3,Pedro II,4.1,3.18,7,9.82,FALSE
Samuel Martins,3,Pedro I,8.21,5.49,29,8.84,FALSE
Bernardo Oliveira,2,Francisto Chagas,3.99,1.8,2,9.91,TRUE
Theo Martins,3,Pedro I,05.02,0.64,6,3.15,FALSE
Samuel Pereira,2,Pedro I,3.25,2.75,1,9.41,FALSE
Arthur Santos,2,Pedro I,3.72,0.38,10,2.15,FALSE
Bernardo Alves,3,Pedro I,2.96,5.84,13,5.13,TRUE
Valentina Alves,3,Carlos Santos,0.53,04.05,27,6.78,TRUE
Gabriel Gomes,3,Carlos Santos,4.22,2.33,29,9.41,FALSE
Valentina Silva,3,Francisto Chagas,6.66,0.57,12,7.69,FALSE
Maria Ferreira,1,Carlos Santos,6.88,2.99,10,6.33,FALSE
Theo Ribeiro,3,Gabriel Gomes,2.99,1.51,4,1.53,FALSE
Maria Silva,1,Carlos Santos,9.5,9.41,27,0,FALSE
Heitor Rodrigues,2,Gabriel Gomes,6.61,6.12,26,8.5,FALSE
Davi Ferreira,1,Gabriel Gomes,5.94,4.27,25,6.72,FALSE
Bernardo Santos,1,Pedro II,0.72,9.17,10,9.91,TRUE
Maria Maia,2,Carlos Santos,4.86,2.14,23,8.12,FALSE
Arthur Oliveira,3,Francisto Chagas,9.86,4.21,19,0,TRUE
Davi Alves,1,Francisto Chagas,07.02,6.11,23,0.08,TRUE
Samuel Santos,1,Francisto Chagas,1.98,5.22,4,0.33,TRUE
Gabriel Santos,1,Gabriel Gomes,6.63,5.58,1,0.02,TRUE
Arthur Martins,1,Gabriel Gomes,8.24,1.79,30,7.19,TRUE
Valentina Oliveira,1,Francisto Chagas,02.05,4.89,5,7.61,FALSE
Davi Alves,3,Gabriel Gomes,1.33,3.13,12,8.17,FALSE
Heloisa Silva,2,Pedro II,2.92,6.36,8,2.63,TRUE
Helena Gomes,1,Pedro I,05.04,0.66,30,6.91,TRUE
Alice Soares,2,Francisto Chagas,2.64,9.53,8,3.59,TRUE
Davi Santos,3,Carlos Santos,6.62,2.88,15,0.49,FALSE
Samuel Oliveira,2,Antonio Prado,4.79,0.62,24,5.85,TRUE
Laura Pereira,2,Francisto Chagas,6.88,1.47,25,1.82,FALSE
Helena Rodrigues,3,Antonio Prado,3.67,1.37,29,04.06,FALSE
Miguel Martins,3,Antonio Prado,1.14,0.84,9,7.21,TRUE
Miguel Gomes,2,Pedro II,1.31,7.16,8,6.94,FALSE
Sophia Gomes,3,Gabriel Gomes,7.86,7.42,2,0,TRUE
Alice Rodrigues,2,Pedro II,0.22,8.65,12,2.55,TRUE
Alice Alves,2,Francisto Chagas,5.35,2.16,28,4.41,TRUE
Alice Alves,1,Gabriel Gomes,4.18,1.56,1,7.48,TRUE
Helena Souza,3,Carlos Santos,05.07,6.79,0,3.98,FALSE
Arthur Maia,1,Gabriel Gomes,7.9,4.1,26,1.99,TRUE
Davi Martins,2,Antonio Prado,01.01,5.75,10,5.0,FALSE
